,Year,Scenario,Country,value
118,2015,Reference,LR,184446938.477059
119,2015,Reference,LS,3290870065.0013485
120,2015,Reference,LY,357778114177.2204
121,2015,Reference,MA,199143770369.0522
122,2015,Reference,ML,9305967665.98618
123,2015,Reference,MR,5295081562.581046
124,2015,Reference,MW,16391021883.029472
125,2015,Reference,MZ,102709099114.45274
126,2015,Reference,NE,529030676.69114006
127,2015,Reference,NG,300139797699.7052
128,2015,Reference,NM,18681897307.855507
129,2015,Reference,RW,4560253040.575701
130,2015,Reference,SD,73406255919.34628
131,2015,Reference,SL,181879418.86460382
132,2015,Reference,SN,5486548192.636493
133,2015,Reference,SO,402611305.8181074
134,2015,Reference,SS,100400961.85292237
135,2015,Reference,SZ,2797068479.9173856
136,2015,Reference,TD,52228783.18611618
137,2015,Reference,TG,3047907080.3063755
138,2015,Reference,TN,134341024955.29166
139,2015,Reference,TZ,35064353424.04181
140,2015,Reference,UG,31792170769.13787
141,2015,Reference,ZA,543159747410.8863
142,2015,Reference,ZM,99531631300.932
143,2015,Reference,ZW,42213591804.35099
144,2016,1.5deg,AO,52296774335.95059
145,2016,1.5deg,BF,1769655369.0417628
146,2016,1.5deg,BI,2064371022.6167765
147,2016,1.5deg,BJ,6267128580.258356
148,2016,1.5deg,BW,5917744720.244189
149,2016,1.5deg,CD,104603939634.35255
150,2016,1.5deg,CF,467041544.0321803
151,2016,1.5deg,CG,13832997189.27564
152,2016,1.5deg,CI,39430486253.83676
153,2016,1.5deg,CM,56005936240.13994
154,2016,1.5deg,DJ,71497654.65283865
155,2016,1.5deg,DZ,685202800324.3264
156,2016,1.5deg,EG,1563935329886.084
157,2016,1.5deg,ER,197267837.97255218
158,2016,1.5deg,ET,122580536023.12146
159,2016,1.5deg,GA,22727280735.343857
160,2016,1.5deg,GH,125460259933.37383
161,2016,1.5deg,GM,208423500.40065464
162,2016,1.5deg,GN,5282730537.181137
163,2016,1.5deg,GQ,13265933702.092556
164,2016,1.5deg,GW,13691040.252671232
165,2016,1.5deg,KE,62599486279.91184
166,2016,1.5deg,LR,183432787.3472315
167,2016,1.5deg,LS,3290870065.0013485
168,2016,1.5deg,LY,235623590653.4738
169,2016,1.5deg,MA,206762086778.09628
170,2016,1.5deg,ML,9382536076.288157
171,2016,1.5deg,MR,6468608852.002499
172,2016,1.5deg,MW,16394064336.418955
173,2016,1.5deg,MZ,102950497969.79388
174,2016,1.5deg,NE,528016525.56131244
