,Year,Scenario,Country,Wind (Onshore),Wind (Offshore),Solar CSP,Solar PV,Hydro,Oil,Gas CCS,Gas,Nuclear,Geothermal,Coal,Coal CCS,Biomass,BECCS,Hydrogen
22,2015,1.5deg,LR,0.0,0.0,0.0,0.0,117512963.90844408,66933974.56861491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2015,1.5deg,LS,0.0,0.0,0.0,0.0,3290362989.436434,507075.5649137493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2015,1.5deg,LY,0.0,0.0,0.0,362098283.011728,0.0,1279351650.2773895,0.0,336578712056.84436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2015,1.5deg,MA,0.0,18748110348.71898,15365113138.732105,3138185119.4349756,51617569396.78406,2006498010.363706,0.0,83720164323.3286,0.0,0.0,24548130031.689735,0.0,0.0,0.0,0.0
26,2015,1.5deg,ML,0.0,0.0,0.0,362098283.011728,7814612099.9115305,1129257283.0629196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2015,1.5deg,MR,0.0,1727936437.669952,0.0,1206994276.70576,2115233350.3519933,206379754.91989598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2015,1.5deg,MW,0.0,0.0,0.0,724196566.023456,15276685308.097729,70990579.0879249,0.0,0.0,0.0,0.0,0.0,0.0,319149429.82035995,0.0,0.0
29,2015,1.5deg,MZ,0.0,0.0,0.0,724196566.023456,94539179464.34326,16733493.642153727,0.0,7428989590.443863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2015,1.5deg,NE,0.0,0.0,0.0,0.0,0.0,171898616.50576103,0.0,0.0,0.0,0.0,357132060.18537897,0.0,0.0,0.0,0.0
31,2015,1.5deg,NG,0.0,172793643.7669952,0.0,1206994276.70576,86019489580.98106,405660451.93099946,0.0,212226523034.7616,0.0,0.0,0.0,0.0,78014305.06719911,0.0,0.0
