,Country,Year,Scenario,Wind (Onshore),Solar CSP,Solar PV,Hydro,Geothermal,Gas CCS,Oil,Gas,Coal,Wind (Offshore),Biomass,Nuclear,BECCS,Hydrogen
0,Uganda,2010,Baseline,143741287.79427895,0.0,0.0,2123683115.7366576,276102369.0266104,0.0,28314122.690263726,331327331.4761902,0.0,0.0,0.0,0.0,0.0,0.0
0,Uganda,2040,Scenario 1,1527307668.4134517,0.0,129985921169.84857,76245246315.77267,37825996229.500824,0.0,176314708.80929494,120482311300.448,0.0,0.0,0.0,0.0,0.0,0.0
0,UK,2020,Baseline,553322817295.8444,0.0,777671754111.32,0.0,0.0,0.0,0.0,1742551354102.4739,0.0,760244844848.9319,76719067135.72348,27779102903.36926,0.0,0.0
0,UK,2050,Consumer Transformation,2260999963013.2173,0.0,5093266230741.402,0.0,0.0,0.0,0.0,0.0,0.0,8457837119740.962,6836884491.93952,56010975506.4225,0.0,0.0
0,UK,2050,System Transformation,1102981131487.997,0.0,3825273359453.671,0.0,0.0,0.0,0.0,1583587478.4754088,0.0,9663986674014.543,5777276529.535123,55553799082.7397,0.0,0.0
0,UK,2050,Leading the Way,2656645769019.907,0.0,6350371199671.6045,0.0,0.0,0.0,0.0,298590653.3888105,0.0,11079534544708.312,9243615829.388966,24372887920.825493,0.0,0.0
0,UK,2050,Steady Progression,1744892182056.688,0.0,2968152965420.2397,0.0,0.0,0.0,0.0,1618518362316.4092,0.0,9492444234509.777,41897314129.77637,48301726670.343735,0.0,0.0
