Year,Scenario,Country,tech,Aluminium,Bentonite,Carbon Fiber,Cast Iron,Cement,Ceramics,Concrete,Copper,Epoxy,EVA ,Fibre Glass,Glass,Lubricant,Non-Ferrous Metal,Paint,Plastic,PVC,Resin,Sand,Silicon,Steel,Stainless Steel
2010,Baseline,Uganda,Wind (Onshore),191777.28310502283,0.0,170478.96281800393,13256702.870189173,0.0,0.0,279682519.5694716,1359719.8793215915,1410493.9660795822,0.0,4570314.611872146,0.0,41737315.72080888,0.0,57288.323548597524,395012.23091976513,0.0,549136.301369863,0.0,0.0,78387058.70841487,0.0
2010,Baseline,Uganda,Solar CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,Baseline,Uganda,Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,Baseline,Uganda,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,Baseline,Uganda,Geothermal,1292697900.0000002,757872828.0000001,0.0,29066580.000000004,1367261326.8000002,0.0,2567955852.0000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3648620700.0000005,0.0
2010,Baseline,Uganda,Gas CCS,9324617.142857142,236815.67346938772,0.0,2220146.93877551,298387748.57142854,0.0,531695589.87755096,518.0342857142857,0.0,0.0,0.0,0.0,710447.0204081633,0.0,0.0,0.0,0.0,0.0,1672510693.8775508,0.0,1666175874.6122448,0.0
2010,Baseline,Uganda,Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,Baseline,Uganda,Gas,312208.1632653061,0.0,0.0,560934000.0,0.0,0.0,24260395.500000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627226200.0,0.0
2010,Baseline,Uganda,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,Baseline,Uganda,Wind (Offshore),931397.2602739725,0.0,0.0,28604244.748858444,0.0,22312.138812785386,268502.78823744296,24216328.76712329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6002337.899543379,0.0,0.0,0.0,0.0,643698995.43379,0.0
2010,Baseline,Uganda,Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,Baseline,Uganda,Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,Baseline,Uganda,BECCS,,,,,,,,,,,,,,,,,,,,,,
2010,Baseline,Uganda,Hydrogen,,,,,,,,,,,,,,,,,,,,,,
2010,Baseline,Uganda,Coal CCS,,,,,,,,,,,,,,,,,,,,,,
2040,Scenario 1,Uganda,Wind (Onshore),805559.3607305937,0.0,716095.8904109589,55684703.196347035,0.0,0.0,1174804794.5205479,5711495.433789954,5924771.689497716,0.0,19197579.9086758,0.0,175317351.59817353,0.0,240639.2694063927,1659246.5753424657,0.0,2306643.8356164386,0.0,0.0,329264383.5616438,0.0
2040,Scenario 1,Uganda,Solar CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,Scenario 1,Uganda,Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
