,Region,Year,Export_factor,Regional_factor
0,Eurasia,2015,0.3874999999978854,1.8641865899573986
1,Eurasia,2016,0.411499999998,1.8496953348546867
2,Eurasia,2017,0.43516666666482706,1.8357006603625905
3,Eurasia,2018,0.45849999999825286,1.8222025664813373
4,Eurasia,2019,0.4814999999983911,1.809201053210927
5,Eurasia,2020,0.5041666666651281,1.7966961205513599
6,Eurasia,2021,0.5264999999985776,1.7846877685026357
7,Eurasia,2022,0.5484999999986258,1.7731759970647545
8,Eurasia,2023,0.5701666666655001,1.7621608062377163
9,Eurasia,2024,0.5914999999988595,1.7516421960215212
10,Eurasia,2025,0.6124999999989313,1.7416201664163964
11,Eurasia,2026,0.6331666666657156,1.7320947174218873
12,Eurasia,2027,0.6534999999990987,1.7230658490379938
13,Eurasia,2028,0.6734999999990805,1.7145335612651706
14,Eurasia,2029,0.6931666666657748,1.7064978541029632
15,Eurasia,2030,0.7124999999991815,1.698958727551826
16,Eurasia,2031,0.7314999999991869,1.6919161816113046
17,Eurasia,2032,0.7501666666659048,1.6853702162818536
18,Eurasia,2033,0.7684999999993352,1.6793208315630181
19,Eurasia,2034,0.7864999999992506,1.673768027455253
20,Eurasia,2035,0.8041666666659921,1.6687118039581037
21,Eurasia,2036,0.8214999999993324,1.6641521610717973
22,Eurasia,2037,0.8384999999992715,1.660089098796334
23,Eurasia,2038,0.855166666665923,1.6565226171317136
24,Eurasia,2039,0.8714999999991733,1.6534527160779362
25,Eurasia,2040,0.8874999999992497,1.6508793956350019
26,Eurasia,2041,0.9031666666659248,1.6488026558029105
27,Eurasia,2042,0.918499999999085,1.6472224965814348
28,Eurasia,2043,0.9334999999991851,1.6461389179710295
29,Eurasia,2044,0.9481666666657702,1.6455519199714672
30,Eurasia,2045,0.9624999999989541,1.645461502582748
31,Eurasia,2046,0.9764999999988504,1.6458676658046443
32,Eurasia,2047,0.9901666666655728,1.646770409637611
33,Eurasia,2048,1.0034999999987804,1.6481697340811934
34,Eurasia,2049,1.0164999999987003,1.6500656391356188
35,Eurasia,2050,1.0291666666653327,1.6524581248008872
36,Eurasia,2051,1.041499999998564,1.6517207006822572
37,Eurasia,2052,1.0534999999983938,1.6517207006822572
38,Eurasia,2053,1.0651666666649362,1.6517207006822572
39,Eurasia,2054,1.076499999998191,1.6517207006822572
40,Eurasia,2055,1.0874999999980446,1.6517207006822572
41,Eurasia,2056,1.098166666664497,1.6517207006822572
42,Eurasia,2057,1.1084999999977754,1.6517207006822572
43,Eurasia,2058,1.1184999999976526,1.6517207006822572
44,Eurasia,2059,1.1281666666641286,1.6517207006822572
45,Eurasia,2060,1.1374999999972033,1.6517207006822572
46,Eurasia,2061,1.1464999999971042,1.6517207006822572
47,Eurasia,2062,1.1551666666636038,1.6517207006822572
48,Eurasia,2063,1.1634999999967022,1.6517207006822572
49,Eurasia,2064,1.1714999999966267,1.6517207006822572
50,Eurasia,2065,1.1791666666630363,1.6517207006822572
51,Europe,2015,0.9,1.0448694352956238
52,Europe,2016,0.9,1.0516272691724566
53,Europe,2017,0.9,1.058286768099748
54,Europe,2018,0.9,1.0648479320774697
55,Europe,2019,0.9,1.0713107611056785
56,Europe,2020,0.9,1.0776752551843174
57,Europe,2021,0.9,1.083941414313415
58,Europe,2022,0.9,1.0901092384929427
59,Europe,2023,0.9,1.0961787277229575
60,Europe,2024,0.9,1.1021498820034026
61,Europe,2025,0.9,1.1080227013343347
62,Europe,2026,0.9,1.113797185715697
63,Europe,2027,0.9,1.1194733351474895
64,Europe,2028,0.9,1.125051149629769
65,Europe,2029,0.9,1.1305306291624504
66,Europe,2030,0.9,1.1359117737456188
67,Europe,2031,0.9,1.1411945833792458
68,Europe,2032,0.9,1.146379058063303
69,Europe,2033,0.9,1.151465197797819
70,Europe,2034,0.9,1.1564530025827935
71,Europe,2035,1.0,1.1613424724181982
72,Europe,2036,1.0,1.16613360730409
73,Europe,2037,1.0,1.170826407240412
74,Europe,2038,1.0,1.1754208722271926
75,Europe,2039,1.0,1.1799170022644034
76,Europe,2040,1.0,1.1843147973521013
77,Europe,2041,1.0,1.1886142574902294
78,Europe,2042,1.0,1.1928153826788161
79,Europe,2043,1.0,1.196918172917833
80,Europe,2044,1.0,1.200922628207337
81,Europe,2045,1.0,1.2048287485472713
82,Europe,2046,1.0,1.2086365339376641
83,Europe,2047,1.0,1.2123459843784872
84,Europe,2048,1.0,1.2159570998697973
85,Europe,2049,1.0,1.219469880411566
86,Europe,2050,1.0,1.2228843260037365
87,Europe,2051,1.0,1.226200436646394
88,Europe,2052,1.0,1.229418212339482
89,Europe,2053,1.0,1.2325376530830567
