,Country,Year,Scenario,Wind (Onshore),Solar CSP,Solar PV,Hydro,Geothermal,Gas CCS,Oil,Gas,Coal,Wind (Offshore),Biomass,Nuclear,BECCS,Hydrogen
0,Uganda,2010,Baseline,162384078.6196684,0.0,0.0,3951982492.9005427,230306468.82598215,0.0,24888315.31195692,152929262.70575583,0.0,0.0,0.0,0.0,0.0,0.0
0,Uganda,2040,Scenario 1,1572284215.5241904,0.0,130175906520.31717,78161632117.23361,37726308312.87041,0.0,175741814.58175293,119824662764.16376,0.0,0.0,0.0,0.0,0.0,0.0
0,UK,2020,Baseline,560889928973.1757,0.0,778435861934.6783,0.0,0.0,0.0,0.0,1737766595337.1516,0.0,759020260830.9204,76621250538.79242,27764138061.117157,0.0,0.0
0,UK,2050,Consumer Transformation,2276616046235.0537,0.0,5097011737786.326,0.0,0.0,0.0,0.0,0.0,0.0,8448602085565.782,6831033278.507237,55990802725.27695,0.0,0.0
0,UK,2050,System Transformation,1106420343721.0632,0.0,3827518172856.749,0.0,0.0,0.0,0.0,1581406627.3437855,0.0,9656005676360.648,5773555486.782128,55538771677.3938,0.0,0.0
0,UK,2050,Leading the Way,2658483056530.468,0.0,6353470293516.825,0.0,0.0,0.0,0.0,298261483.5067823,0.0,11072177177412.506,9238843049.739029,24367609093.592354,0.0,0.0
0,UK,2050,Steady Progression,1743152604358.228,0.0,2969392497354.0576,0.0,0.0,0.0,0.0,1617030850035.9014,0.0,9487173430033.848,41879261763.293045,48293003810.99791,0.0,0.0
0,Kenya,0,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
