Year,Scenario,Country,Material,Value
2050,Leading the Way,UK,Glass,123523556706.34702
2050,Leading the Way,UK,Lubricant,146713567992.36096
2050,Leading the Way,UK,Non-Ferrous Metal,27882744596.335613
2050,Leading the Way,UK,Paint,201377932.59965417
2050,Leading the Way,UK,Plastic,17278699600.917374
2050,Leading the Way,UK,PVC,137612553641.82858
2050,Leading the Way,UK,Resin,1930304924.9028141
2050,Leading the Way,UK,Sand,251220682246.2818
2050,Leading the Way,UK,Silicon,0.0
2050,Leading the Way,UK,Steel,1010148467108.4869
2050,Leading the Way,UK,Stainless Steel,1626993125549.617
2050,Steady Progression,UK,Aluminium,774357389.1421118
2050,Steady Progression,UK,Bentonite,0.0
2050,Steady Progression,UK,Carbon Fiber,360510453.31508815
2050,Steady Progression,UK,Cast Iron,170672569791.6056
2050,Steady Progression,UK,Cement,25062773576.799862
2050,Steady Progression,UK,Ceramics,82092831883.6458
2050,Steady Progression,UK,Concrete,1008998974758.7876
2050,Steady Progression,UK,Copper,5903731298.694355
2050,Steady Progression,UK,Epoxy,2982759929.4606066
2050,Steady Progression,UK,EVA ,0.0
2050,Steady Progression,UK,Fibre Glass,9664806526.759289
2050,Steady Progression,UK,Glass,96782468722.0395
2050,Steady Progression,UK,Lubricant,88261556510.79964
2050,Steady Progression,UK,Non-Ferrous Metal,21846528133.858433
2050,Steady Progression,UK,Paint,121147144.20344424
2050,Steady Progression,UK,Plastic,13285501046.39737
2050,Steady Progression,UK,PVC,58999709460.54864
2050,Steady Progression,UK,Resin,1161253996.775918
2050,Steady Progression,UK,Sand,107707813500.71663
2050,Steady Progression,UK,Silicon,0.0
2050,Steady Progression,UK,Steel,886852908468.3783
2050,Steady Progression,UK,Stainless Steel,1274772322649.5154
0,Baseline,Kenya,Aluminium,0.0
0,Baseline,Kenya,Bentonite,0.0
0,Baseline,Kenya,Carbon Fiber,0.0
0,Baseline,Kenya,Cast Iron,0.0
0,Baseline,Kenya,Cement,0.0
0,Baseline,Kenya,Ceramics,0.0
0,Baseline,Kenya,Concrete,0.0
0,Baseline,Kenya,Copper,0.0
0,Baseline,Kenya,Epoxy,0.0
0,Baseline,Kenya,EVA ,0.0
0,Baseline,Kenya,Fibre Glass,0.0
0,Baseline,Kenya,Glass,0.0
0,Baseline,Kenya,Lubricant,0.0
0,Baseline,Kenya,Non-Ferrous Metal,0.0
0,Baseline,Kenya,Paint,0.0
0,Baseline,Kenya,Plastic,0.0
0,Baseline,Kenya,PVC,0.0
0,Baseline,Kenya,Resin,0.0
0,Baseline,Kenya,Sand,0.0
0,Baseline,Kenya,Silicon,0.0
0,Baseline,Kenya,Steel,0.0
0,Baseline,Kenya,Stainless Steel,0.0
