,Country,Year,Scenario,Wind (Onshore),Solar CSP,Solar PV,Hydro,Geothermal,Gas CCS,Oil,Gas,Coal,Wind (Offshore),Biomass,Nuclear,BECCS,Hydrogen
0,Uganda,2010,Baseline,148543716.30363533,0.0,0.0,2038612934.7667477,226015563.3449138,0.0,27168484.487272624,250237701.69053173,0.0,0.0,0.0,0.0,0.0,0.0
0,Uganda,2040,Scenario 1,1537648297.6646423,0.0,129923206712.48328,76257168869.73247,37705827688.22624,0.0,176166058.7455059,120135497176.80328,0.0,0.0,0.0,0.0,0.0,0.0
0,UK,2020,Baseline,555432413521.6525,0.0,777488257466.8923,0.0,0.0,0.0,0.0,1740028169574.211,0.0,759274550439.3235,76755909870.80096,27861437312.59382,0.0,0.0
0,UK,2050,Consumer Transformation,2267005494932.404,0.0,5092484886332.0,0.0,0.0,0.0,0.0,0.0,0.0,8450514861753.338,6839096700.299691,56122116882.5002,0.0,0.0
0,UK,2050,System Transformation,1105229577346.2468,0.0,3824841091113.9175,0.0,0.0,0.0,0.0,1582437815.8002975,0.0,9657656494331.785,5778686059.587291,55636649845.60796,0.0,0.0
0,UK,2050,Leading the Way,2661040123096.2095,0.0,6349804525038.601,0.0,0.0,0.0,0.0,298417150.0528843,0.0,11073697742750.457,9245425842.85196,24402003950.931023,0.0,0.0
0,UK,2050,Steady Progression,1747320593456.0093,0.0,2967934381697.0728,0.0,0.0,0.0,0.0,1617734388245.3242,0.0,9488262149469.816,41904165534.83678,48349852179.47139,0.0,0.0
0,Kenya,0,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
