r,t,f,y,UseByTechnologyAnnual
REGION,AOBIOFUELX,AOETHA,2070.0,0.0
REGION,AOBIOFUELX,AOLFOI,2070.0,0.0
REGION,AOBIOFUELX,AOWAT1,2070.0,0.0
REGION,AOBMCHC01N,AOBIOM,2070.0,0.0
REGION,AOBMCHC01N,AOWAT1,2070.0,0.0
REGION,AOBMCHC02N,AOBIOM,2070.0,0.0
REGION,AOBMCHC02N,AOWAT1,2070.0,0.0
REGION,AOBMCHC03N,AOBIOM,2070.0,0.0
REGION,AOBMCHC03N,AOWAT1,2070.0,0.0
REGION,AOBMCHC04N,AOBIOM,2070.0,0.0
REGION,AOBMCHC04N,AOWAT1,2070.0,0.0
REGION,AOBMCHP01N,AOBIOM,2070.0,0.0
REGION,AOBMCHP01N,AOWAT1,2070.0,0.0
REGION,AOBMCHP01O,AOBIOM,2070.0,0.0
REGION,AOBMCHP01O,AOWAT1,2070.0,0.0
REGION,AOBMCHP02N,AOBIOM,2070.0,0.0
REGION,AOBMCHP02N,AOWAT1,2070.0,0.0
REGION,AOBMCHP02O,AOBIOM,2070.0,0.0
REGION,AOBMCHP02O,AOWAT1,2070.0,0.0
REGION,AOBMCHP03N,AOBIOM,2070.0,0.0
REGION,AOBMCHP03N,AOWAT1,2070.0,0.0
REGION,AOBMCHP03O,AOBIOM,2070.0,0.0
REGION,AOBMCHP03O,AOWAT1,2070.0,0.0
REGION,AOBMCHP04N,AOBIOM,2019.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2020.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2021.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2022.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2023.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2024.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2025.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2026.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2027.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2028.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2029.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2030.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2031.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2032.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2033.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2034.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2035.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2036.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2037.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2038.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2039.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2040.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2041.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2042.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2043.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2044.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2045.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2046.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2047.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2048.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2049.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2050.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2051.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2052.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2053.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2054.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2055.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2056.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2070.0,0.0
REGION,AOBMCHP04N,AOWAT1,2019.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2020.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2021.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2022.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2023.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2024.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2025.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2026.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2027.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2028.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2029.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2030.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2031.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2032.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2033.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2034.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2035.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2036.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2037.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2038.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2039.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2040.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2041.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2042.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2043.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2044.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2045.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2046.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2047.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2048.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2049.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2050.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2051.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2052.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2053.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2054.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2055.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2056.0,26.2457
REGION,AOBMCHP04N,AOWAT1,2070.0,0.0
REGION,AOBMCHP04O,AOBIOM,2070.0,0.0
REGION,AOBMCHP04O,AOWAT1,2070.0,0.0
REGION,AOCO00P00X,AOCOAL,2070.0,0.0
REGION,AOCO00X00X,AOWAT1,2070.0,0.0
REGION,AOCOSCC01N,AOCOAL,2070.0,0.0
REGION,AOCOSCC01N,AOWAT1,2070.0,0.0
REGION,AOCOSCC02N,AOCOAL,2070.0,0.0
REGION,AOCOSCC02N,AOWAT1,2070.0,0.0
REGION,AOCOSCC03N,AOCOAL,2070.0,0.0
REGION,AOCOSCC03N,AOWAT1,2070.0,0.0
REGION,AOCOSCC04N,AOCOAL,2070.0,0.0
REGION,AOCOSCC04N,AOWAT1,2070.0,0.0
REGION,AOCOSCP01N,AOCOAL,2070.0,0.0
REGION,AOCOSCP01N,AOWAT1,2070.0,0.0
REGION,AOCOSCP01O,AOCOAL,2070.0,0.0
REGION,AOCOSCP01O,AOWAT1,2070.0,0.0
REGION,AOCOSCP02N,AOCOAL,2043.0,16.1067
REGION,AOCOSCP02N,AOCOAL,2044.0,40.7404
REGION,AOCOSCP02N,AOCOAL,2045.0,62.6787
REGION,AOCOSCP02N,AOCOAL,2046.0,88.567
REGION,AOCOSCP02N,AOCOAL,2047.0,134.9566
REGION,AOCOSCP02N,AOCOAL,2048.0,200.0219
REGION,AOCOSCP02N,AOCOAL,2049.0,256.9208
REGION,AOCOSCP02N,AOCOAL,2050.0,322.3292
REGION,AOCOSCP02N,AOCOAL,2051.0,367.084
REGION,AOCOSCP02N,AOCOAL,2052.0,413.9788
REGION,AOCOSCP02N,AOCOAL,2053.0,459.7947
REGION,AOCOSCP02N,AOCOAL,2054.0,509.3137
REGION,AOCOSCP02N,AOCOAL,2055.0,551.0267
REGION,AOCOSCP02N,AOCOAL,2056.0,603.3123
REGION,AOCOSCP02N,AOCOAL,2057.0,662.724
REGION,AOCOSCP02N,AOCOAL,2058.0,721.4079
REGION,AOCOSCP02N,AOCOAL,2059.0,782.5673
REGION,AOCOSCP02N,AOCOAL,2060.0,847.9378
REGION,AOCOSCP02N,AOCOAL,2061.0,902.6378
REGION,AOCOSCP02N,AOCOAL,2062.0,919.3254
REGION,AOCOSCP02N,AOCOAL,2063.0,929.4183
REGION,AOCOSCP02N,AOCOAL,2064.0,952.2854
REGION,AOCOSCP02N,AOCOAL,2065.0,965.7735
REGION,AOCOSCP02N,AOCOAL,2066.0,987.0457
REGION,AOCOSCP02N,AOCOAL,2067.0,1020.9646
REGION,AOCOSCP02N,AOCOAL,2068.0,1055.8562
REGION,AOCOSCP02N,AOCOAL,2069.0,1095.5368
REGION,AOCOSCP02N,AOCOAL,2070.0,1161.665
REGION,AOCOSCP02N,AOWAT1,2043.0,4.3624
REGION,AOCOSCP02N,AOWAT1,2044.0,11.0343
REGION,AOCOSCP02N,AOWAT1,2045.0,16.9762
REGION,AOCOSCP02N,AOWAT1,2046.0,23.9878
REGION,AOCOSCP02N,AOWAT1,2047.0,36.5522
REGION,AOCOSCP02N,AOWAT1,2048.0,54.1748
REGION,AOCOSCP02N,AOWAT1,2049.0,69.5855
REGION,AOCOSCP02N,AOWAT1,2050.0,87.301
REGION,AOCOSCP02N,AOWAT1,2051.0,99.4225
REGION,AOCOSCP02N,AOWAT1,2052.0,112.1237
REGION,AOCOSCP02N,AOWAT1,2053.0,124.5327
REGION,AOCOSCP02N,AOWAT1,2054.0,137.9446
REGION,AOCOSCP02N,AOWAT1,2055.0,149.2424
REGION,AOCOSCP02N,AOWAT1,2056.0,163.4036
REGION,AOCOSCP02N,AOWAT1,2057.0,179.4949
REGION,AOCOSCP02N,AOWAT1,2058.0,195.3891
REGION,AOCOSCP02N,AOWAT1,2059.0,211.9538
REGION,AOCOSCP02N,AOWAT1,2060.0,229.659
REGION,AOCOSCP02N,AOWAT1,2061.0,244.4742
REGION,AOCOSCP02N,AOWAT1,2062.0,248.9939
REGION,AOCOSCP02N,AOWAT1,2063.0,251.7275
REGION,AOCOSCP02N,AOWAT1,2064.0,257.9209
REGION,AOCOSCP02N,AOWAT1,2065.0,261.5741
REGION,AOCOSCP02N,AOWAT1,2066.0,267.3356
REGION,AOCOSCP02N,AOWAT1,2067.0,276.5223
REGION,AOCOSCP02N,AOWAT1,2068.0,285.9725
REGION,AOCOSCP02N,AOWAT1,2069.0,296.7198
REGION,AOCOSCP02N,AOWAT1,2070.0,314.6302
REGION,AOCOSCP02O,AOCOAL,2070.0,0.0
REGION,AOCOSCP02O,AOWAT1,2070.0,0.0
REGION,AOCOSCP03N,AOCOAL,2070.0,0.0
REGION,AOCOSCP03N,AOWAT1,2070.0,0.0
REGION,AOCOSCP03O,AOCOAL,2070.0,0.0
REGION,AOCOSCP03O,AOWAT1,2070.0,0.0
REGION,AOCOSCP04N,AOCOAL,2070.0,0.0
REGION,AOCOSCP04N,AOWAT1,2070.0,0.0
REGION,AOCOSCP04O,AOCOAL,2070.0,0.0
REGION,AOCOSCP04O,AOWAT1,2070.0,0.0
REGION,AOCR00E00X,AOCRU1,2015.0,3657.837
REGION,AOCR00E00X,AOCRU1,2016.0,3502.7462
REGION,AOCR00E00X,AOCRU1,2017.0,3197.2054
REGION,AOCR00E00X,AOCRU1,2018.0,3486.4974
REGION,AOCR00E00X,AOCRU1,2019.0,3486.4974
REGION,AOCR00E00X,AOCRU1,2020.0,3486.4974
REGION,AOCR00E00X,AOCRU1,2021.0,3486.4974
REGION,AOCR00E00X,AOCRU1,2022.0,3486.4974
REGION,AOCR00E00X,AOCRU1,2023.0,3486.4974
REGION,AOCR00E00X,AOCRU1,2024.0,3486.4974
REGION,AOCR00E00X,AOCRU1,2025.0,3486.4974
REGION,AOCR00E00X,AOCRU1,2026.0,3486.4974
REGION,AOCR00E00X,AOCRU1,2027.0,3486.4974
REGION,AOCR00E00X,AOCRU1,2028.0,3486.4974
REGION,AOCR00E00X,AOCRU1,2029.0,3486.4974
REGION,AOCR00E00X,AOCRU1,2030.0,3486.4974
REGION,AOCR00E00X,AOCRU1,2070.0,0.0
REGION,AOCR00P00X,AOCRU1,2070.0,0.0
REGION,AOCR00X00X,AOWAT1,2015.0,212.4404
REGION,AOCR00X00X,AOWAT1,2016.0,203.7768
REGION,AOCR00X00X,AOWAT1,2017.0,186.709
REGION,AOCR00X00X,AOWAT1,2018.0,202.8692
REGION,AOCR00X00X,AOWAT1,2019.0,202.8692
REGION,AOCR00X00X,AOWAT1,2020.0,203.8014
REGION,AOCR00X00X,AOWAT1,2021.0,203.8014
REGION,AOCR00X00X,AOWAT1,2022.0,203.8014
REGION,AOCR00X00X,AOWAT1,2023.0,203.8014
REGION,AOCR00X00X,AOWAT1,2024.0,203.8014
REGION,AOCR00X00X,AOWAT1,2025.0,202.9904
REGION,AOCR00X00X,AOWAT1,2026.0,202.1795
REGION,AOCR00X00X,AOWAT1,2027.0,201.3685
REGION,AOCR00X00X,AOWAT1,2028.0,200.5576
REGION,AOCR00X00X,AOWAT1,2029.0,199.7466
REGION,AOCR00X00X,AOWAT1,2030.0,198.9357
REGION,AOCR00X00X,AOWAT1,2031.0,3.3651
REGION,AOCR00X00X,AOWAT1,2032.0,2.5542
REGION,AOCR00X00X,AOWAT1,2033.0,1.7432
REGION,AOCR00X00X,AOWAT1,2034.0,0.9322
REGION,AOCR00X00X,AOWAT1,2035.0,0.9322
REGION,AOCR00X00X,AOWAT1,2036.0,0.9322
REGION,AOCR00X00X,AOWAT1,2037.0,0.9322
REGION,AOCR00X00X,AOWAT1,2038.0,0.9322
REGION,AOCR00X00X,AOWAT1,2039.0,0.9322
REGION,AOCR00X00X,AOWAT1,2040.0,0.9322
REGION,AOCR00X00X,AOWAT1,2041.0,0.9322
REGION,AOCR00X00X,AOWAT1,2042.0,0.9322
REGION,AOCR00X00X,AOWAT1,2043.0,0.9322
REGION,AOCR00X00X,AOWAT1,2044.0,0.9322
REGION,AOCR00X00X,AOWAT1,2045.0,0.9322
REGION,AOCR00X00X,AOWAT1,2046.0,0.9322
REGION,AOCR00X00X,AOWAT1,2047.0,0.9322
REGION,AOCR00X00X,AOWAT1,2048.0,0.9322
REGION,AOCR00X00X,AOWAT1,2070.0,0.0
REGION,AOCRUDPROX,AOCRU1,2015.0,145.1733
REGION,AOCRUDPROX,AOCRU1,2016.0,145.1733
REGION,AOCRUDPROX,AOCRU1,2017.0,145.1733
REGION,AOCRUDPROX,AOCRU1,2018.0,145.1733
REGION,AOCRUDPROX,AOCRU1,2019.0,145.1733
REGION,AOCRUDPROX,AOCRU1,2020.0,161.8619
REGION,AOCRUDPROX,AOCRU1,2021.0,161.8619
REGION,AOCRUDPROX,AOCRU1,2022.0,161.8619
REGION,AOCRUDPROX,AOCRU1,2023.0,161.8619
REGION,AOCRUDPROX,AOCRU1,2024.0,161.8619
REGION,AOCRUDPROX,AOCRU1,2025.0,147.3446
REGION,AOCRUDPROX,AOCRU1,2026.0,132.8272
REGION,AOCRUDPROX,AOCRU1,2027.0,118.3099
REGION,AOCRUDPROX,AOCRU1,2028.0,103.7926
REGION,AOCRUDPROX,AOCRU1,2029.0,89.2753
REGION,AOCRUDPROX,AOCRU1,2030.0,74.7579
REGION,AOCRUDPROX,AOCRU1,2031.0,60.2406
REGION,AOCRUDPROX,AOCRU1,2032.0,45.7233
REGION,AOCRUDPROX,AOCRU1,2033.0,31.206
REGION,AOCRUDPROX,AOCRU1,2034.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2035.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2036.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2037.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2038.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2039.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2040.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2041.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2042.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2043.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2044.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2045.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2046.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2047.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2048.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2049.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2050.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2051.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2052.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2053.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2054.0,16.6886
REGION,AOCRUDPROX,AOCRU1,2070.0,0.0
REGION,AOCRUDPROX,AOWAT1,2015.0,6.8957
REGION,AOCRUDPROX,AOWAT1,2016.0,6.8957
REGION,AOCRUDPROX,AOWAT1,2017.0,6.8957
REGION,AOCRUDPROX,AOWAT1,2018.0,6.8957
REGION,AOCRUDPROX,AOWAT1,2019.0,6.8957
REGION,AOCRUDPROX,AOWAT1,2020.0,7.6884
REGION,AOCRUDPROX,AOWAT1,2021.0,7.6884
REGION,AOCRUDPROX,AOWAT1,2022.0,7.6884
REGION,AOCRUDPROX,AOWAT1,2023.0,7.6884
REGION,AOCRUDPROX,AOWAT1,2024.0,7.6884
REGION,AOCRUDPROX,AOWAT1,2025.0,6.9989
REGION,AOCRUDPROX,AOWAT1,2026.0,6.3093
REGION,AOCRUDPROX,AOWAT1,2027.0,5.6197
REGION,AOCRUDPROX,AOWAT1,2028.0,4.9301
REGION,AOCRUDPROX,AOWAT1,2029.0,4.2406
REGION,AOCRUDPROX,AOWAT1,2030.0,3.551
REGION,AOCRUDPROX,AOWAT1,2031.0,2.8614
REGION,AOCRUDPROX,AOWAT1,2032.0,2.1719
REGION,AOCRUDPROX,AOWAT1,2033.0,1.4823
REGION,AOCRUDPROX,AOWAT1,2034.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2035.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2036.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2037.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2038.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2039.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2040.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2041.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2042.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2043.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2044.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2045.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2046.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2047.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2048.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2049.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2050.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2051.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2052.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2053.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2054.0,0.7927
REGION,AOCRUDPROX,AOWAT1,2070.0,0.0
REGION,AOCRUDRE1X,AOCRU2,2015.0,143.7215
REGION,AOCRUDRE1X,AOCRU2,2016.0,143.7215
REGION,AOCRUDRE1X,AOCRU2,2017.0,143.7215
REGION,AOCRUDRE1X,AOCRU2,2018.0,143.7215
REGION,AOCRUDRE1X,AOCRU2,2019.0,143.7215
REGION,AOCRUDRE1X,AOCRU2,2020.0,160.2433
REGION,AOCRUDRE1X,AOCRU2,2021.0,160.2433
REGION,AOCRUDRE1X,AOCRU2,2022.0,160.2433
REGION,AOCRUDRE1X,AOCRU2,2023.0,160.2433
REGION,AOCRUDRE1X,AOCRU2,2024.0,160.2433
REGION,AOCRUDRE1X,AOCRU2,2025.0,145.8711
REGION,AOCRUDRE1X,AOCRU2,2026.0,131.499
REGION,AOCRUDRE1X,AOCRU2,2027.0,117.1268
REGION,AOCRUDRE1X,AOCRU2,2028.0,102.7547
REGION,AOCRUDRE1X,AOCRU2,2029.0,88.3825
REGION,AOCRUDRE1X,AOCRU2,2030.0,74.0104
REGION,AOCRUDRE1X,AOCRU2,2031.0,59.6382
REGION,AOCRUDRE1X,AOCRU2,2032.0,45.266
REGION,AOCRUDRE1X,AOCRU2,2033.0,30.8939
REGION,AOCRUDRE1X,AOCRU2,2034.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2035.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2036.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2037.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2038.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2039.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2040.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2041.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2042.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2043.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2044.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2045.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2046.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2047.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2048.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2049.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2050.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2051.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2052.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2053.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2054.0,16.5217
REGION,AOCRUDRE1X,AOCRU2,2070.0,0.0
REGION,AOCRUDRE2X,AOCRU2,2070.0,0.0
REGION,AOEL00T00X,AOEL01,2015.0,34.3877
REGION,AOEL00T00X,AOEL01,2016.0,36.4905
REGION,AOEL00T00X,AOEL01,2017.0,42.4031
REGION,AOEL00T00X,AOEL01,2018.0,48.2823
REGION,AOEL00T00X,AOEL01,2019.0,54.1285
REGION,AOEL00T00X,AOEL01,2020.0,59.9451
REGION,AOEL00T00X,AOEL01,2021.0,64.5033
REGION,AOEL00T00X,AOEL01,2022.0,69.3878
REGION,AOEL00T00X,AOEL01,2023.0,74.6231
REGION,AOEL00T00X,AOEL01,2024.0,80.2353
REGION,AOEL00T00X,AOEL01,2025.0,86.2522
REGION,AOEL00T00X,AOEL01,2026.0,92.6124
REGION,AOEL00T00X,AOEL01,2027.0,99.4299
REGION,AOEL00T00X,AOEL01,2028.0,106.7382
REGION,AOEL00T00X,AOEL01,2029.0,114.5732
REGION,AOEL00T00X,AOEL01,2030.0,118.2674
REGION,AOEL00T00X,AOEL01,2031.0,126.41
REGION,AOEL00T00X,AOEL01,2032.0,135.4662
REGION,AOEL00T00X,AOEL01,2033.0,145.6843
REGION,AOEL00T00X,AOEL01,2034.0,157.6335
REGION,AOEL00T00X,AOEL01,2035.0,156.5288
REGION,AOEL00T00X,AOEL01,2036.0,165.5328
REGION,AOEL00T00X,AOEL01,2037.0,175.0875
REGION,AOEL00T00X,AOEL01,2038.0,187.4053
REGION,AOEL00T00X,AOEL01,2039.0,201.4076
REGION,AOEL00T00X,AOEL01,2040.0,216.9062
REGION,AOEL00T00X,AOEL01,2041.0,229.5683
REGION,AOEL00T00X,AOEL01,2042.0,243.3335
REGION,AOEL00T00X,AOEL01,2043.0,258.2728
REGION,AOEL00T00X,AOEL01,2044.0,274.4613
REGION,AOEL00T00X,AOEL01,2045.0,291.9794
REGION,AOEL00T00X,AOEL01,2046.0,310.5866
REGION,AOEL00T00X,AOEL01,2047.0,330.5002
REGION,AOEL00T00X,AOEL01,2048.0,351.8039
REGION,AOEL00T00X,AOEL01,2049.0,374.587
REGION,AOEL00T00X,AOEL01,2050.0,399.8205
REGION,AOEL00T00X,AOEL01,2051.0,417.061
REGION,AOEL00T00X,AOEL01,2052.0,434.9885
REGION,AOEL00T00X,AOEL01,2053.0,453.6305
REGION,AOEL00T00X,AOEL01,2054.0,473.0159
REGION,AOEL00T00X,AOEL01,2055.0,491.4226
REGION,AOEL00T00X,AOEL01,2056.0,512.3855
REGION,AOEL00T00X,AOEL01,2057.0,534.1846
REGION,AOEL00T00X,AOEL01,2058.0,556.8533
REGION,AOEL00T00X,AOEL01,2059.0,580.4262
REGION,AOEL00T00X,AOEL01,2060.0,604.9393
REGION,AOEL00T00X,AOEL01,2061.0,623.6268
REGION,AOEL00T00X,AOEL01,2062.0,630.4537
REGION,AOEL00T00X,AOEL01,2063.0,637.5803
REGION,AOEL00T00X,AOEL01,2064.0,647.3719
REGION,AOEL00T00X,AOEL01,2065.0,654.7876
REGION,AOEL00T00X,AOEL01,2066.0,664.4139
REGION,AOEL00T00X,AOEL01,2067.0,673.7417
REGION,AOEL00T00X,AOEL01,2068.0,685.4861
REGION,AOEL00T00X,AOEL01,2069.0,699.3571
REGION,AOEL00T00X,AOEL01,2070.0,715.487
REGION,AOEL00TDTX,AOEL02,2015.0,32.6684
REGION,AOEL00TDTX,AOEL02,2016.0,34.6659
REGION,AOEL00TDTX,AOEL02,2017.0,40.283
REGION,AOEL00TDTX,AOEL02,2018.0,45.8682
REGION,AOEL00TDTX,AOEL02,2019.0,51.422
REGION,AOEL00TDTX,AOEL02,2020.0,56.9479
REGION,AOEL00TDTX,AOEL02,2021.0,61.2781
REGION,AOEL00TDTX,AOEL02,2022.0,65.9184
REGION,AOEL00TDTX,AOEL02,2023.0,70.892
REGION,AOEL00TDTX,AOEL02,2024.0,76.2235
REGION,AOEL00TDTX,AOEL02,2025.0,81.9396
REGION,AOEL00TDTX,AOEL02,2026.0,87.9818
REGION,AOEL00TDTX,AOEL02,2027.0,94.4584
REGION,AOEL00TDTX,AOEL02,2028.0,101.4013
REGION,AOEL00TDTX,AOEL02,2029.0,108.8446
REGION,AOEL00TDTX,AOEL02,2030.0,112.3541
REGION,AOEL00TDTX,AOEL02,2031.0,120.0895
REGION,AOEL00TDTX,AOEL02,2032.0,128.6929
REGION,AOEL00TDTX,AOEL02,2033.0,138.4001
REGION,AOEL00TDTX,AOEL02,2034.0,149.7518
REGION,AOEL00TDTX,AOEL02,2035.0,148.7024
REGION,AOEL00TDTX,AOEL02,2036.0,157.2561
REGION,AOEL00TDTX,AOEL02,2037.0,166.3332
REGION,AOEL00TDTX,AOEL02,2038.0,178.035
REGION,AOEL00TDTX,AOEL02,2039.0,191.3372
REGION,AOEL00TDTX,AOEL02,2040.0,206.0609
REGION,AOEL00TDTX,AOEL02,2041.0,218.0899
REGION,AOEL00TDTX,AOEL02,2042.0,231.1668
REGION,AOEL00TDTX,AOEL02,2043.0,245.3591
REGION,AOEL00TDTX,AOEL02,2044.0,260.7383
REGION,AOEL00TDTX,AOEL02,2045.0,277.3804
REGION,AOEL00TDTX,AOEL02,2046.0,295.0573
REGION,AOEL00TDTX,AOEL02,2047.0,313.9752
REGION,AOEL00TDTX,AOEL02,2048.0,334.2137
REGION,AOEL00TDTX,AOEL02,2049.0,355.8577
REGION,AOEL00TDTX,AOEL02,2050.0,379.8295
REGION,AOEL00TDTX,AOEL02,2051.0,396.208
REGION,AOEL00TDTX,AOEL02,2052.0,413.239
REGION,AOEL00TDTX,AOEL02,2053.0,430.949
REGION,AOEL00TDTX,AOEL02,2054.0,449.3651
REGION,AOEL00TDTX,AOEL02,2055.0,466.8514
REGION,AOEL00TDTX,AOEL02,2056.0,486.7662
