r,t,y,TotalCapacityAnnual
REGION,AOCO00I00X,2054,565.904126350312
REGION,AOCO00I00X,2055,600.993021580006
REGION,AOCO00I00X,2056,653.051579229171
REGION,AOCO00I00X,2057,730.202145602728
REGION,AOCO00I00X,2058,762.091884691852
REGION,AOCO00I00X,2059,838.773057497629
REGION,AOCO00I00X,2060,922.360452759435
REGION,AOCO00I00X,2061,987.03335891236
REGION,AOCO00I00X,2062,1021.47265793464
REGION,AOCO00I00X,2063,1032.68705407216
REGION,AOCO00I00X,2064,1058.09486406279
REGION,AOCO00I00X,2065,1073.08162886389
REGION,AOCO00I00X,2066,1096.71746439911
REGION,AOCO00I00X,2067,1134.4051478441
REGION,AOCO00I00X,2068,1173.17353764694
REGION,AOCO00I00X,2069,1217.26312474691
REGION,AOCO00I00X,2070,999999999.0
REGION,AOCO00P00X,2015,999999999.0
REGION,AOCO00P00X,2016,999999999.0
REGION,AOCO00P00X,2017,999999999.0
REGION,AOCO00P00X,2018,999999999.0
REGION,AOCO00P00X,2019,999999999.0
REGION,AOCO00P00X,2020,999999999.0
REGION,AOCO00P00X,2021,999999999.0
REGION,AOCO00P00X,2022,999999999.0
REGION,AOCO00P00X,2023,999999999.0
REGION,AOCO00P00X,2024,999999999.0
REGION,AOCO00P00X,2025,999999999.0
REGION,AOCO00P00X,2026,999999999.0
REGION,AOCO00P00X,2027,999999999.0
REGION,AOCO00P00X,2028,999999999.0
REGION,AOCO00P00X,2029,999999999.0
REGION,AOCO00P00X,2030,999999999.0
REGION,AOCO00P00X,2031,999999999.0
REGION,AOCO00P00X,2032,999999999.0
REGION,AOCO00P00X,2033,999999999.0
REGION,AOCO00P00X,2034,999999999.0
REGION,AOCO00P00X,2035,999999999.0
REGION,AOCO00P00X,2036,999999999.0
REGION,AOCO00P00X,2037,999999999.0
REGION,AOCO00P00X,2038,999999999.0
REGION,AOCO00P00X,2039,999999999.0
REGION,AOCO00P00X,2040,999999999.0
REGION,AOCO00P00X,2041,999999999.0
REGION,AOCO00P00X,2042,999999999.0
REGION,AOCO00P00X,2043,999999999.0
REGION,AOCO00P00X,2044,999999999.0
REGION,AOCO00P00X,2045,999999999.0
REGION,AOCO00P00X,2046,999999999.0
REGION,AOCO00P00X,2047,999999999.0
REGION,AOCO00P00X,2048,999999999.0
REGION,AOCO00P00X,2049,999999999.0
REGION,AOCO00P00X,2050,999999999.0
REGION,AOCO00P00X,2051,999999999.0
REGION,AOCO00P00X,2052,999999999.0
REGION,AOCO00P00X,2053,999999999.0
REGION,AOCO00P00X,2054,999999999.0
REGION,AOCO00P00X,2055,999999999.0
REGION,AOCO00P00X,2056,999999999.0
REGION,AOCO00P00X,2057,999999999.0
REGION,AOCO00P00X,2058,999999999.0
REGION,AOCO00P00X,2059,999999999.0
REGION,AOCO00P00X,2060,999999999.0
REGION,AOCO00P00X,2061,999999999.0
REGION,AOCO00P00X,2062,999999999.0
REGION,AOCO00P00X,2063,999999999.0
REGION,AOCO00P00X,2064,999999999.0
REGION,AOCO00P00X,2065,999999999.0
REGION,AOCO00P00X,2066,999999999.0
REGION,AOCO00P00X,2067,999999999.0
REGION,AOCO00P00X,2068,999999999.0
REGION,AOCO00P00X,2069,999999999.0
REGION,AOCO00P00X,2070,999999999.0
REGION,AOCO00X00X,2015,999999999.0
REGION,AOCO00X00X,2016,999999999.0
REGION,AOCO00X00X,2017,999999999.0
REGION,AOCO00X00X,2018,999999999.0
REGION,AOCO00X00X,2019,999999999.0
