r,t,y,NewCapacity
REGION,AOCOSCP02N,2048,0.951163171657344
REGION,AOCOSCP02N,2049,0.83178075465286
REGION,AOCOSCP02N,2050,0.956176590754511
REGION,AOCOSCP02N,2051,0.654251132442597
REGION,AOCOSCP02N,2052,0.685536039961712
REGION,AOCOSCP02N,2053,0.66976210624709
REGION,AOCOSCP02N,2054,0.723898078558988
REGION,AOCOSCP02N,2055,0.60978402485697
REGION,AOCOSCP02N,2056,0.764341389141774
REGION,AOCOSCP02N,2057,0.868513486741004
REGION,AOCOSCP02N,2058,0.857875677404648
REGION,AOCOSCP02N,2059,0.894063009938116
REGION,AOCOSCP02N,2060,0.955623399220385
REGION,AOCOSCP02N,2061,0.799636925419063
REGION,AOCOSCP02N,2062,0.24394813089676
REGION,AOCOSCP02N,2063,0.147544631370648
REGION,AOCOSCP02N,2064,0.33428335445203
REGION,AOCOSCP02N,2065,0.197176616636391
REGION,AOCOSCP02N,2066,0.310969988790904
REGION,AOCOSCP02N,2067,0.495846168881107
REGION,AOCOSCP02N,2068,0.510064716115755
REGION,AOCOSCP02N,2069,0.580074200712958
REGION,AOCOSCP02N,2070,0.966700000357132
REGION,AOCOSCP02O,2070,0.0
REGION,AOCOSCP03N,2070,0.0
REGION,AOCOSCP03O,2070,0.0
REGION,AOCOSCP04N,2070,0.0
REGION,AOCOSCP04O,2070,0.0
REGION,AOCR00E00X,2015,3657.8370415096
REGION,AOCR00E00X,2017,472.212584939519
REGION,AOCR00E00X,2019,8.39440980985945
REGION,AOCR00E00X,2021,1144.67601002907
REGION,AOCR00E00X,2025,556.630785612219
REGION,AOCR00E00X,2026,14.5173275000016
REGION,AOCR00E00X,2029,330.769707669636
REGION,AOCR00E00X,2041,999993813.962133
REGION,AOCR00E00X,2070,0.0
REGION,AOCR00I00X,2020,16.688623098141
REGION,AOCR00I00X,2070,999999982.311377
REGION,AOCR00P00X,2070,999999999.0
REGION,AOCR00X00X,2015,3803.0103165096
REGION,AOCR00X00X,2017,472.212584939518
REGION,AOCR00X00X,2019,8.39440980985935
